municipio,partido,candidato,color,img
Tarija,A-UPP,Roberto Gareca,#E4CC64,tarija-A-UPP.png
Tarija,DEMOCRATAS,Roberto Castillo,#DCDCDC,tarija-DEMOCRATAS.png
Tarija,ISA,Wilfredo Barrios,#3C74AC,tarija-ISA.png
Tarija,PATRIA,Luciana Campero,#DC5474,tarija-PATRIA.png
Tarija,T,Johnny Torres,#547C9C,tarija-T.png
Tarija,MTS,Ervin Sandro Mancilla,#C45C84,tarija-MTS.png
Tarija,NGP,Julio Román,#DCDCDC,tarija-NGP.png
Trinidad,PATRIA-UNIDOS,Mauricio Barba,#1CBCCC,trinidad-PATRIA-UNIDOS.png
Trinidad,MNR,Moisés Shriqui,#645494,trinidad-MNR.png
Trinidad,A-UPP,Indira Balcázar,#ECCC4C,trinidad-A-UPP.png
Trinidad,DESPIERTA,Rodney Mercado,#640C64,trinidad-DESPIERTA.png
Trinidad,CPEM-B,José Luis Rivero,#DC4474,trinidad-CPEM-B.png
Trinidad,NGP,Richar Rodríguez,#FC5C6C,trinidad-NGP.png
Trinidad,TUFE,Mayerling Castedo,#148CB4,trinidad-TUFE.png
Trinidad,MTS,Victor Quispe,#D45484,trinidad-MTS.png
Cobija,FSUTCP,Roger Franco,#DCDCDC,cobija-FSUTCP.png
Cobija,LIBRE-PANDO,Diego Suárez,#CCB4D4,cobija-LIBRE-PANDO.png
Cobija,UPP,Mirlo Rodríguez,#84EC9C,cobija-UPP.png
Cobija,MTS,Tetsu Mukay,#D45484,cobija-MTS.png
Cobija,APB-SUMATE,Priscila Segovia,#BCB4AC,cobija-APB-SUMATE.png
Cobija,A-UPP,Luis Adolfo Flores,#ECCC4C,cobija-A-UPP.png
Cobija,NGP,Eduardo Domínguez,#FC5C6C,cobija-NGP.png
Cobija,FRI,Florencio Cochi,#7474B4,cobija-FRI.png
Cobija,MNR,Nancy Acuña,#645494,cobija-MNR.png
Cobija,MDA,Erik David Mollinedo,#FCA404,cobija-MDA.png
El Alto,UPC,Eliser Roca,#D4FCD4,elalto-UPC.png
El Alto,LIBRE,Simón Gálvez,#F4C47C,elalto-LIBRE.png
El Alto,APB-SUMATE,Javier Tarqui,#BCB4AC,elalto-APB-SUMATE.png
El Alto,M.P.S.,Oscar Chirinos,#945494,elalto-M.P.S..png
El Alto,JALLALLA LP,Tahiuichi Quispe,#EC9C9C,elalto-JALLALLA LP.png
El Alto,VIDA,Rury Balladares,#64A4DC,elalto-VIDA.png
El Alto,UN,Yoacir Calamani,#CC642C,elalto-UN.png
El Alto,PATRIA-SOL,Néstor Yujra,#BCBC44,elalto-PATRIA-SOL.png
El Alto,IH,Freddy Mamani,#ACCCE4,elalto-IH.png
El Alto,ASP,Omar Pati,#D4645C,elalto-ASP.png
El Alto,A-UPP,Sergio Choque,#E4CC64,elalto-A-UPP.png
El Alto,MTS,,#D4CCC4,elalto-MTS.png
El Alto,FRI,Oscar Choque,#7474AC,elalto-FRI.png
El Alto,SPBC,,#D4CCC4,elalto-SPBC.png
El Alto,VENCEREMOS,Oscar Huanca,#7CCCDC,elalto-VENCEREMOS.png
El Alto,PDC,Gabriel Mamani,#E4C474,elalto-PDC.png
El Alto,NGP,Esteban Pati,#E46C6C,elalto-NGP.png
El Alto,MNR,Pablo Callizaya,#64548C,elalto-MNR.png
